time,hours,capacity_known_hours,reported_gpu_hours,all_gpu_hours,completed_gpu_hours,max_concurrent_gpus,full_week,capacity_coverage_complete,allocation_utilization,completed_allocation_utilization
2020-03-30,120,120,116160.0,84003.90277777778,40027.4425,826.0,False,True,0.7231740941613101,0.3445888644972452
2020-04-06,168,168,162624.0,106416.18472222223,64641.56333333333,768.0,True,True,0.6543694947991824,0.39749091974944245
2020-04-13,168,168,162624.0,112103.23777777777,55051.04722222222,808.0,True,True,0.6893400591411954,0.3385173604278718
2020-04-20,168,168,162624.0,123406.85805555555,61579.06527777778,869.0,True,True,0.7588477595899471,0.3786591479595741
2020-04-27,168,168,162624.0,122376.02555555555,63156.95138888889,879.0,True,True,0.7525090119266256,0.3883618124562727
2020-05-04,168,168,162624.0,108488.35416666667,46660.90861111111,960.0,True,True,0.6671115835711007,0.28692510706360136
2020-05-11,168,168,162624.0,86934.6236111111,17410.970555555556,960.0,True,True,0.5345743777739516,0.1070627370840439
2020-05-18,168,168,162624.0,100450.03222222222,67675.84055555555,698.0,True,True,0.617682705026455,0.4161491572926232
2020-05-25,168,168,162624.0,116579.47333333333,75887.34861111111,807.0,True,True,0.7168651203594385,0.4666429838837509
2020-06-01,168,168,162624.0,115689.09388888889,69935.73888888888,776.0,True,True,0.7113900401471425,0.43004561988936985
2020-06-08,168,168,162624.0,117628.31722222222,66295.6475,796.0,True,True,0.723314622824566,0.40766213781483673
2020-06-15,168,168,162624.0,122158.87944444445,62387.23527777778,828.0,True,True,0.7511737470757357,0.38362870964788576
2020-06-22,168,168,162624.0,118272.46361111112,69735.22916666667,776.0,True,True,0.7272755780887884,0.42881265475370595
2020-06-29,168,168,162624.0,127496.3261111111,65342.480833333335,929.0,True,True,0.7839945279362893,0.40180096931162274
2020-07-06,168,168,176448.0,133417.30222222224,71159.98083333333,955.0,True,True,0.7561281636642083,0.40329151270251484
2020-07-13,168,168,178752.0,139150.3213888889,60806.2575,938.0,True,True,0.778454626459502,0.34017106102309347
2020-07-20,168,168,178752.0,144569.50083333332,65228.80222222222,1000.0,True,True,0.8087713750522139,0.3649122931336277
2020-07-27,168,168,178752.0,145799.18944444443,88651.61361111111,1027.0,True,True,0.8156506749264032,0.4959475340757648
2020-08-03,168,168,178752.0,149681.97611111111,96386.2838888889,990.0,True,True,0.8373723153369536,0.5392179326043283
2020-08-10,168,168,183552.0,140391.87833333333,93002.96361111112,985.0,True,True,0.7648616105154579,0.5066845559357083
2020-08-17,168,168,205440.0,147789.14916666667,82780.04666666666,1013.0,True,True,0.7193786466446003,0.4029402583073728
2020-08-24,168,168,181248.0,155099.5402777778,49770.675,1025.0,True,True,0.855731044082019,0.27459985765360173
2020-08-31,168,168,180672.0,159207.42888888888,72878.21861111111,1031.0,True,True,0.8811959179556815,0.4033730661702483
2020-09-07,168,168,181440.0,155085.84583333333,72004.39222222222,1024.0,True,True,0.8547500321502057,0.3968496043993729
2020-09-14,168,168,181440.0,164634.87333333332,88846.02694444444,1053.0,True,True,0.9073791519694296,0.48967166525818145
2020-09-21,168,168,181440.0,160183.82833333334,71564.50027777778,1047.0,True,True,0.8828473783803645,0.39442515585194987
2020-09-28,24,24,25920.0,14075.374166666666,8251.943055555555,987.0,False,True,0.5430314107510288,0.3183620006001372
