case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,105607694.06056553,0.0,0.0,0.0,0.0,-0.0,3733959.5588047663,0.24385102799570754,0.0,0.0,0.0
S0,119211927.1135746,0.0,0.0,0.0,0.0,-0.0,4228689.321205835,0.037695496571302625,578778.9890543001,0.0,0.0
S0e,118296311.79437234,0.0,0.0,0.0,0.0,-0.0,4195392.197308884,0.049241265271186746,542059.5809302378,0.0,0.0
S1,118309117.61355726,0.0,0.0,0.0,0.0,-0.0,4195765.052688254,0.040460968569412586,547095.2641519811,0.0,0.0
S2,118178299.64262627,0.0,0.0,0.0,0.0,-0.0,4190892.2927220585,0.03315875115920789,544864.671033151,0.0,0.0
S1rt,118202567.84132391,0.0,0.0,0.0,0.0,-0.0,4191778.904287119,0.03315405646726739,545272.0226620834,0.0,0.0
S3,118309117.61355726,0.0,0.0,0.0,0.0,-0.0,4195765.052688254,0.040460968569412586,547095.2641519811,0.0,0.0
