technology,efficiency,marginal_cost_EUR_per_MWh,emissions_t_per_MWh,scope
OCGT,0.41,53.52439024390244,0.4878048780487805,ARCHIVE_PARAMETERS_NOT_MEASURED_OPERATION
CCGT,0.58,38.855172413793106,0.3448275862068966,ARCHIVE_PARAMETERS_NOT_MEASURED_OPERATION
