source_row,start_h,end_h,mode,gpus,work_gpu_h,release_h,deadline_h
730932,0.14166666666666666,1.3575,5,1,1.2158333333333333,0.14166666666666666,1.3575
731303,0.5633333333333334,25.77714465774675,1,16,325.5777777777778,0.5633333333333334,30.736944444444443
732798,2.3044444444444445,3.513888888888889,5,1,1.2094444444444445,2.3044444444444445,3.513888888888889
733067,2.6127777777777776,3.763333333333333,5,1,1.1505555555555556,2.6127777777777776,3.763333333333333
733105,2.656111111111111,41.18222222222222,5,2,77.05222222222223,2.656111111111111,41.18222222222222
736365,6.491666666666666,56.47388888888889,5,2,99.96444444444444,6.491666666666666,56.47388888888889
736366,6.491666666666666,56.47388888888889,5,2,99.96444444444444,6.491666666666666,56.47388888888889
739583,10.245555555555555,10.261111111111111,5,1,0.015555555555555555,10.245555555555555,10.261111111111111
740062,10.801388888888889,10.860833333333334,5,8,0.47555555555555556,10.801388888888889,10.860833333333334
740119,10.869166666666667,70.68305555555555,5,8,478.5111111111111,10.869166666666667,70.68305555555555
740131,10.882222222222222,70.3625,5,8,475.84222222222223,10.882222222222222,70.3625
740155,10.905555555555555,11.172222222222222,5,32,8.533333333333333,10.905555555555555,11.172222222222222
740236,11.000833333333333,11.18611111111111,5,32,5.928888888888889,11.000833333333333,11.186388888888889
740403,11.188888888888888,11.37611111111111,5,32,5.9911111111111115,11.188888888888888,11.3775
740417,11.204722222222221,11.410555555555556,5,32,6.586666666666667,11.204722222222221,11.411666666666667
740492,11.284722222222221,11.306111111111111,5,8,0.1711111111111111,11.284722222222221,11.306111111111111
740595,11.396944444444445,11.566944444444445,5,32,5.44,11.396944444444445,11.5675
740601,11.402777777777779,19.516111111111112,5,8,64.90666666666667,11.402777777777779,19.516111111111112
740624,11.427777777777777,11.58472222222222,5,32,5.022222222222222,11.427777777777777,11.58611111111111
740677,11.488055555555556,11.514722222222222,5,1,0.02666666666666667,11.488055555555556,11.514722222222222
740768,11.588611111111112,11.775555555555556,5,32,5.982222222222222,11.588611111111112,11.776944444444444
740782,11.603055555555555,11.715833333333332,5,32,3.608888888888889,11.603055555555555,11.716388888888888
740798,11.62111111111111,11.645833333333334,5,1,0.024722222222222222,11.62111111111111,11.645833333333334
740897,11.731111111111112,11.75611111111111,5,1,0.025,11.731111111111112,11.75611111111111
