case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,157312922.4333711,0.0,0.0,0.0,0.0,0.0,5430743.11574495,0.0,0.0,0.0,0.0
S0,166976431.75163913,0.0,0.0,0.0,0.0,-0.0,5783843.337995701,0.0,344563.5905931281,0.0,0.0
S0e,165904769.57514894,0.0,0.0,0.0,0.0,-0.0,5744685.33250571,0.0,306514.8215023385,0.0,0.0
S1,165930149.9414752,0.0,0.0,0.0,0.0,-0.0,5745612.718271524,0.0,307414.9312162204,0.0,0.0
S2,165904769.5744447,0.0,0.0,0.0,0.0,-0.0,5744685.332479974,0.0,306514.8214773666,0.0,0.0
S1rt,165904769.57444486,0.0,0.0,0.0,0.0,-0.0,5744685.332479982,0.0,306514.82147736655,0.0,0.0
S3,165930149.9414752,0.0,0.0,0.0,0.0,-0.0,5745612.718271524,0.0,307414.9312162204,0.0,0.0
