GEM unit/phase ID,province_source_label,Plant / Project name,Unit / Phase name,capacity_numeric_MW,Status,Start year,Retired year,Technology,Fuel,CHP,Captive Industry Type,Captive Industry Use,Captive Non Industry Use,candidate_category,legacy_mapping,admission,stage34_event_refs,stage34_correspondence,stage34_original_fields_changed,stage34_dispatch_admitted
G100000405560,Jiangsu,Guoxin Yizheng Gas Thermal power station,1,100.0,operating,2018,,combined cycle,fossil gas: LNG,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405561,Jiangsu,Guoxin Yizheng Gas Thermal power station,2,100.0,operating,2018,,combined cycle,fossil gas: LNG,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405493,Jiangsu,Huachen Zhangjiagang Huaxing Gas power station,2025-01-01 00:00:00,390.0,operating,2005,,combined cycle,fossil gas: natural gas,not found,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405494,Jiangsu,Huachen Zhangjiagang Huaxing Gas power station,2025-02-01 00:00:00,390.0,operating,2006,,combined cycle,fossil gas: natural gas,not found,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405495,Jiangsu,Huachen Zhangjiagang Huaxing Gas power station,2025-01-02 00:00:00,400.0,operating,2021,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405496,Jiangsu,Huachen Zhangjiagang Huaxing Gas power station,2025-02-02 00:00:00,400.0,operating,2021,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405523,Jiangsu,Huadian Kunshan Thermal power plant,2025-01-01 00:00:00,451.0,operating,2017,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405524,Jiangsu,Huadian Kunshan Thermal power plant,2025-02-01 00:00:00,451.0,operating,2017,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,,not_reviewed_this_stage,false,false
G100000405515,Jiangsu,Huadian Qishuyan Gas power station,1,390.0,operating,2005,,combined cycle,fossil gas: natural gas,not found,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,qishuyan_historical_groups,plant_or_capacity_group_candidate_only,false,false
G100000405516,Jiangsu,Huadian Qishuyan Gas power station,2,390.0,operating,2005,,combined cycle,fossil gas: natural gas,not found,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,qishuyan_historical_groups,plant_or_capacity_group_candidate_only,false,false
G100000405517,Jiangsu,Huadian Qishuyan Gas power station,3,220.0,operating,2011,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,qishuyan_historical_groups,plant_or_capacity_group_candidate_only,false,false
G100000405518,Jiangsu,Huadian Qishuyan Gas power station,4,220.0,operating,2011,,combined cycle,fossil gas: natural gas,yes,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,qishuyan_historical_groups,plant_or_capacity_group_candidate_only,false,false
G100000405519,Jiangsu,Huadian Qishuyan Gas power station,5,475.0,operating,2015,,combined cycle,fossil gas: natural gas,not found,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,qishuyan_historical_groups,plant_or_capacity_group_candidate_only,false,false
G100000405520,Jiangsu,Huadian Qishuyan Gas power station,6,475.0,operating,2015,,combined cycle,fossil gas: natural gas,not found,,,,CCGT_FOSSIL_GAS_REQUIRES_HEAT_AND_OPERATION_DATA,OCGT_natural_gas_parameters,CANDIDATE_ONLY_NOT_OPERATIONALLY_VALIDATED,qishuyan_historical_groups,plant_or_capacity_group_candidate_only,false,false
