case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,510781361.8074699,0.0,0.0,0.0,0.0,0.0,17416820.350496974,0.0,0.0,0.0,0.0
S0,516537478.44484544,0.0,0.0,0.0,0.0,-0.0,17586185.074090667,0.0,179202.93586688585,0.0,0.0
S0e,516091557.47263694,0.0,0.0,0.0,0.0,-0.0,17574707.52292412,0.0,166243.96932778865,0.0,0.0
S1,516112190.6251651,0.0,0.0,0.0,0.0,-0.0,17576532.481073327,0.0,167645.47157146537,0.0,0.0
S2,516072875.1350662,0.0,0.0,0.0,0.0,-0.0,17575053.344954163,0.0,166281.33464552308,0.0,0.0
S1rt,516073311.2445356,0.0,0.0,0.0,0.0,-0.0,17575069.276218906,0.0,166281.3346455231,0.0,0.0
S3,516112231.0551225,0.0,0.0,0.0,0.0,-0.0,17576533.957996894,0.0,167645.47157146537,0.0,0.0
